TahunBulan,Tahun,Bulan,NamaBulan,SKU,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Demand,DemandValue,Capacity,Harga,Scenario,Growth,ScenarioDemand,ScenarioValue,Utilization,CapacityGap,RevenueImpact
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,+10%,0.1,3229.6000000000004,16148000.000000002,0.8074000000000001,770.3999999999996,1468000.0000000019
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,+20%,0.2,3523.2,17616000,0.8807999999999999,476.8000000000002,2936000
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,+30%,0.3,3816.8,19084000,0.9542,183.19999999999982,4404000
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,-10%,-0.1,2642.4,13212000,0.6606000000000001,1357.6,-1468000
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,-20%,-0.2,2348.8,11744000,0.5872,1651.1999999999998,-2936000
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,-30%,-0.3,2055.2,10276000,0.5137999999999999,1944.8000000000002,-4404000
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000,Base,0,2936,14680000,0.734,1064,0
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,+10%,0.1,3117.4,15587000,0.5195666666666667,2882.6,1417000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,+20%,0.2,3400.7999999999997,17004000,0.5668,2599.2000000000003,2834000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,+30%,0.3,3684.2000000000003,18421000,0.6140333333333334,2315.7999999999997,4251000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,-10%,-0.1,2550.6,12753000,0.4251,3449.4,-1417000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,-20%,-0.2,2267.2000000000003,11336000.000000002,0.37786666666666674,3732.7999999999997,-2833999.999999998
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,-30%,-0.3,1983.8,9919000,0.33063333333333333,4016.2,-4251000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000,Base,0,2834,14170000,0.4723333333333333,3166,0
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,+10%,0.1,1195.7,11957000,0.23914000000000002,3804.3,1087000
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,+20%,0.2,1304.3999999999999,13043999.999999998,0.26087999999999995,3695.6000000000004,2173999.999999998
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,+30%,0.3,1413.1000000000001,14131000.000000002,0.28262000000000004,3586.8999999999996,3261000.000000002
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,-10%,-0.1,978.3000000000001,9783000,0.19566,4021.7,-1087000
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,-20%,-0.2,869.6,8696000,0.17392,4130.4,-2174000
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,-30%,-0.3,760.9,7609000,0.15217999999999998,4239.1,-3261000
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000,Base,0,1087,10870000,0.2174,3913,0
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,+10%,0.1,2537.7000000000003,12688500.000000002,0.5075400000000001,2462.2999999999997,1153500.0000000019
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,+20%,0.2,2768.4,13842000,0.5536800000000001,2231.6,2307000
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,+30%,0.3,2999.1,14995500,0.59982,2000.9,3460500
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,-10%,-0.1,2076.3,10381500,0.41526,2923.7,-1153500
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,-20%,-0.2,1845.6000000000001,9228000,0.36912,3154.3999999999996,-2307000
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,-30%,-0.3,1614.8999999999999,8074499.999999999,0.32298,3385.1000000000004,-3460500.000000001
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000,Base,0,2307,11535000,0.4614,2693,0
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,+10%,0.1,1062.6000000000001,5313000.000000001,0.26565000000000005,2937.3999999999996,483000.00000000093
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,+20%,0.2,1159.2,5796000,0.2898,2840.8,966000
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,+30%,0.3,1255.8,6279000,0.31395,2744.2,1449000
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,-10%,-0.1,869.4,4347000,0.21735,3130.6,-483000
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,-20%,-0.2,772.8000000000001,3864000.0000000005,0.1932,3227.2,-965999.9999999995
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,-30%,-0.3,676.1999999999999,3380999.9999999995,0.16904999999999998,3323.8,-1449000.0000000005
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000,Base,0,966,4830000,0.2415,3034,0
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,+10%,0.1,1182.5,17737500,0.295625,2817.5,1612500
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,+20%,0.2,1290,19350000,0.3225,2710,3225000
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,+30%,0.3,1397.5,20962500,0.349375,2602.5,4837500
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,-10%,-0.1,967.5,14512500,0.241875,3032.5,-1612500
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,-20%,-0.2,860,12900000,0.215,3140,-3225000
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,-30%,-0.3,752.5,11287500,0.188125,3247.5,-4837500
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000,Base,0,1075,16125000,0.26875,2925,0
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,+10%,0.1,1394.8000000000002,13948000.000000002,0.34870000000000007,2605.2,1268000.0000000019
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,+20%,0.2,1521.6,15216000,0.38039999999999996,2478.4,2536000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,+30%,0.3,1648.4,16484000,0.4121,2351.6,3804000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,-10%,-0.1,1141.2,11412000,0.2853,2858.8,-1268000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,-20%,-0.2,1014.4000000000001,10144000,0.25360000000000005,2985.6,-2536000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,-30%,-0.3,887.5999999999999,8876000,0.2219,3112.4,-3804000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000,Base,0,1268,12680000,0.317,2732,0
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,+10%,0.1,2306.7000000000003,23067000.000000004,0.576675,1693.2999999999997,2097000.0000000037
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,+20%,0.2,2516.4,25164000,0.6291,1483.6,4194000
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,+30%,0.3,2726.1,27261000,0.6815249999999999,1273.9,6291000
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,-10%,-0.1,1887.3,18873000,0.471825,2112.7,-2097000
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,-20%,-0.2,1677.6000000000001,16776000.000000002,0.41940000000000005,2322.3999999999996,-4193999.999999998
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000,-30%,-0.3,1467.8999999999999,14678999.999999998,0.36697499999999994,2532.1000000000004,-6291000.000000002
