TahunBulan,Demand,Forecast,Lower,Upper,Type
2024-01-01,26072,,,,Historical
2024-02-01,31300,,,,Historical
2024-03-01,31774,29715.333333333332,,,Historical
2024-04-01,37935,33669.666666666664,,,Historical
2024-05-01,31706,33805,,,Historical
2024-06-01,36108,35249.666666666664,,,Historical
2024-07-01,35116,34310,,,Historical
2024-08-01,29584,33602.666666666664,,,Historical
2024-09-01,31632,32110.666666666668,,,Historical
2024-10-01,31401,30872.333333333332,,,Historical
2024-11-01,43798,35610.333333333336,,,Historical
2024-12-01,43719,39639.333333333336,,,Historical
2025-01-01,35833,41116.666666666664,,,Historical
2025-02-01,30647,36733,,,Historical
2025-03-01,34857,33779,,,Historical
2025-04-01,34824,33442.666666666664,,,Historical
2025-05-01,33096,34259,,,Historical
2025-06-01,41261,36393.666666666664,,,Historical
2025-07-01,46812,40389.666666666664,,,Historical
2025-08-01,26106,38059.666666666664,,,Historical
2025-09-01,27390,33436,,,Historical
2025-10-01,26990,26828.666666666668,,,Historical
2025-11-01,53341,35907,,,Historical
2025-12-01,40089,40140,,,Historical
2026-01-01,31725,41718.333333333336,,,Historical
2026-02-01,34023,35279,,,Historical
2026-03-01,27287,31011.666666666668,,,Historical
2026-04-01,31443,30917.666666666668,,,Historical
2026-05-01,31558,30096,,,Historical
2026-06-01,37033,33344.666666666664,,,Historical
2026-07-01,37167,35252.666666666664,,,Historical
2026-08-01,35068,36422.666666666664,,,Historical
2026-09-01,33588,35274.333333333336,,,Historical
2026-10-01,35109,34588.333333333336,,,Historical
2026-11-01,46774,38490.333333333336,,,Historical
2026-12-01,39212,40365,,,Historical
2027-01-01,,40365,34131.67947875011,46598.32052124989,Forecast
2027-02-01,,42117,35883.67947875011,48350.32052124989,Forecast
2027-03-01,,40564.666666666664,34331.346145416785,46797.987187916544,Forecast
2027-04-01,,41015.555555555555,34782.235034305675,47248.876076805434,Forecast
2027-05-01,,41232.40740740741,34999.08688615753,47465.72792865729,Forecast
2027-06-01,,40937.543209876545,34704.22268862666,47170.86373112643,Forecast
2027-07-01,,41061.8353909465,34828.51486969662,47295.15591219638,Forecast
2027-08-01,,41077.26200274348,34843.9414814936,47310.58252399336,Forecast
2027-09-01,,41025.54686785551,34792.22634660563,47258.86738910539,Forecast
2027-10-01,,41054.881420515165,34821.560899265285,47288.201941765044,Forecast
2027-11-01,,41052.56343037139,34819.2429091215,47285.883951621276,Forecast
2027-12-01,,41044.33057291402,34811.01005166414,47277.6510941639,Forecast
