"Tanggal","Produk","Kategori","Lokasi","Permintaan","Harga","Kapasitas"
2024-01-01,"Product A","Food","Jakarta",1794,10000,5000
2024-02-01,"Product A","Food","Jakarta",4047,15000,6000
2024-03-01,"Product A","Food","Jakarta",2340,15000,6000
2024-04-01,"Product A","Food","Jakarta",4474,10000,6000
2024-05-01,"Product A","Food","Jakarta",4732,10000,6000
2024-06-01,"Product A","Food","Jakarta",705,15000,4000
2024-07-01,"Product A","Food","Jakarta",2876,5000,6000
2024-08-01,"Product A","Food","Jakarta",4516,15000,6000
2024-09-01,"Product A","Food","Jakarta",2981,7500,6000
2024-10-01,"Product A","Food","Jakarta",2555,7500,5000
2024-11-01,"Product A","Food","Jakarta",6247,15000,6000
2024-12-01,"Product A","Food","Jakarta",3302,5000,6000
2025-01-01,"Product A","Food","Jakarta",3549,15000,6000
2025-02-01,"Product A","Food","Jakarta",3077,15000,4000
2025-03-01,"Product A","Food","Jakarta",NA,7500,4000
2025-04-01,"Product A","Food","Jakarta",4549,10000,6000
2025-05-01,"Product A","Food","Jakarta",1607,15000,5000
2025-06-01,"Product A","Food","Jakarta",689,15000,6000
2025-07-01,"Product A","Food","Jakarta",1976,15000,5000
2025-08-01,"Product A","Food","Jakarta",NA,10000,4000
2025-09-01,"Product A","Food","Jakarta",4503,5000,5000
2025-10-01,"Product A","Food","Jakarta",3618,15000,5000
2025-11-01,"Product A","Food","Jakarta",4397,15000,5000
2025-12-01,"Product A","Food","Jakarta",6466,15000,4000
2024-01-01,"Product B","Food","Jakarta",3451,7500,4000
2024-02-01,"Product B","Food","Jakarta",3688,5000,4000
2024-03-01,"Product B","Food","Jakarta",2948,7500,6000
2024-04-01,"Product B","Food","Jakarta",3174,10000,6000
2024-05-01,"Product B","Food","Jakarta",1801,15000,4000
2024-06-01,"Product B","Food","Jakarta",1162,10000,4000
2024-07-01,"Product B","Food","Jakarta",4834,5000,6000
2024-08-01,"Product B","Food","Jakarta",4560,10000,4000
2024-09-01,"Product B","Food","Jakarta",3608,15000,6000
2024-10-01,"Product B","Food","Jakarta",4080,7500,5000
2024-11-01,"Product B","Food","Jakarta",794,5000,4000
2024-12-01,"Product B","Food","Jakarta",3445,5000,4000
2025-01-01,"Product B","Food","Jakarta",3913,7500,6000
2025-02-01,"Product B","Food","Jakarta",1474,10000,5000
2025-03-01,"Product B","Food","Jakarta",1932,5000,6000
2025-04-01,"Product B","Food","Jakarta",1542,7500,5000
2025-05-01,"Product B","Food","Jakarta",NA,7500,4000
2025-06-01,"Product B","Food","Jakarta",2365,5000,5000
2025-07-01,"Product B","Food","Jakarta",2362,15000,6000
2025-08-01,"Product B","Food","Jakarta",2160,15000,5000
2025-09-01,"Product B","Food","Jakarta",1186,15000,6000
2025-10-01,"Product B","Food","Jakarta",1125,7500,6000
2025-11-01,"Product B","Food","Jakarta",2013,15000,4000
2025-12-01,"Product B","Food","Jakarta",3376,5000,5000
2024-01-01,"Product C","Drink","Jakarta",1697,5000,4000
2024-02-01,"Product C","Drink","Jakarta",4360,7500,5000
2024-03-01,"Product C","Drink","Jakarta",706,5000,5000
2024-04-01,"Product C","Drink","Jakarta",2490,15000,5000
2024-05-01,"Product C","Drink","Jakarta",4095,10000,5000
2024-06-01,"Product C","Drink","Jakarta",1049,5000,4000
2024-07-01,"Product C","Drink","Jakarta",3024,5000,5000
2024-08-01,"Product C","Drink","Jakarta",1429,15000,4000
2024-09-01,"Product C","Drink","Jakarta",1074,15000,5000
2024-10-01,"Product C","Drink","Jakarta",3890,7500,4000
2024-11-01,"Product C","Drink","Jakarta",5886,5000,6000
2024-12-01,"Product C","Drink","Jakarta",2841,15000,5000
2025-01-01,"Product C","Drink","Jakarta",3493,7500,4000
2025-02-01,"Product C","Drink","Jakarta",927,5000,6000
2025-03-01,"Product C","Drink","Jakarta",2228,5000,5000
2025-04-01,"Product C","Drink","Jakarta",1735,5000,6000
2025-05-01,"Product C","Drink","Jakarta",4166,10000,5000
2025-06-01,"Product C","Drink","Jakarta",2518,10000,6000
2025-07-01,"Product C","Drink","Jakarta",4145,7500,6000
2025-08-01,"Product C","Drink","Jakarta",4156,5000,4000
2025-09-01,"Product C","Drink","Jakarta",4075,15000,5000
2025-10-01,"Product C","Drink","Jakarta",2479,7500,6000
2025-11-01,"Product C","Drink","Jakarta",5064,15000,4000
2025-12-01,"Product C","Drink","Jakarta",4331,10000,4000
2024-01-01,"Product D","Drink","Jakarta",3696,7500,6000
2024-02-01,"Product D","Drink","Jakarta",503,10000,5000
2024-03-01,"Product D","Drink","Jakarta",2639,7500,6000
2024-04-01,"Product D","Drink","Jakarta",1491,10000,5000
2024-05-01,"Product D","Drink","Jakarta",2209,5000,5000
2024-06-01,"Product D","Drink","Jakarta",3257,5000,5000
2024-07-01,"Product D","Drink","Jakarta",2083,5000,4000
2024-08-01,"Product D","Drink","Jakarta",1000,5000,5000
2024-09-01,"Product D","Drink","Jakarta",1596,10000,4000
2024-10-01,"Product D","Drink","Jakarta",3506,7500,4000
2024-11-01,"Product D","Drink","Jakarta",3093,5000,4000
2024-12-01,"Product D","Drink","Jakarta",5261,7500,5000
2025-01-01,"Product D","Drink","Jakarta",963,5000,5000
2025-02-01,"Product D","Drink","Jakarta",2457,10000,6000
2025-03-01,"Product D","Drink","Jakarta",4932,10000,6000
2025-04-01,"Product D","Drink","Jakarta",4519,5000,4000
