Tanggal,SKU,Tahun,Bulan,NamaBulan,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Permintaan,Harga,Kapasitas,TahunBulan,DemandValue
2024-01-01,SKU01,2024,1,January,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,5000,4000,2024-01-01,14680000
2024-02-01,SKU01,2024,2,February,Product B,Food,Vanilla,Large,Box,Jakarta,4959,15000,6000,2024-02-01,74385000
2024-03-01,SKU01,2024,3,March,Product C,Drink,Vanilla,Medium,Box,Bandung,1642,5000,6000,2024-03-01,8210000
2024-04-01,SKU01,2024,4,April,Product D,Drink,Berry,Small,Box,Bandung,3809,10000,6000,2024-04-01,38090000
2024-05-01,SKU01,2024,5,May,Product A,Food,Vanilla,Medium,Bottle,Jakarta,4899,10000,4000,2024-05-01,48990000
2024-06-01,SKU01,2024,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,3463,7500,6000,2024-06-01,25972500
2024-07-01,SKU01,2024,7,July,Product C,Drink,Berry,Medium,Bottle,Bandung,2607,15000,4000,2024-07-01,39105000
2024-08-01,SKU01,2024,8,August,Product D,Drink,Berry,Large,Box,Jakarta,4211,5000,5000,2024-08-01,21055000
2024-09-01,SKU01,2024,9,September,Product A,Food,Vanilla,Large,Bottle,Bandung,1006,10000,4000,2024-09-01,10060000
2024-10-01,SKU01,2024,10,October,Product B,Food,Chocolate,Small,Bottle,Bandung,2911,10000,5000,2024-10-01,29110000
2024-11-01,SKU01,2024,11,November,Product C,Drink,Original,Medium,Box,Bandung,3246,10000,4000,2024-11-01,32460000
2024-12-01,SKU01,2024,12,December,Product D,Drink,Berry,Small,Box,Jakarta,2253,15000,6000,2024-12-01,33795000
2025-01-01,SKU01,2025,1,January,Product A,Food,Berry,Medium,Box,Jakarta,1208,5000,5000,2025-01-01,6040000
2025-02-01,SKU01,2025,2,February,Product B,Food,Chocolate,Medium,Box,Bandung,4423,7500,5000,2025-02-01,33172500
2025-03-01,SKU01,2025,3,March,Product C,Drink,Berry,Medium,Box,Jakarta,3029,15000,5000,2025-03-01,45435000
2025-04-01,SKU01,2025,4,April,Product D,Drink,Vanilla,Medium,Box,Bandung,2978,10000,6000,2025-04-01,29780000
2025-05-01,SKU01,2025,5,May,Product A,Food,Original,Small,Box,Jakarta,3166,10000,6000,2025-05-01,31660000
2025-06-01,SKU01,2025,6,June,Product B,Food,Chocolate,Medium,Bottle,Bandung,4341,5000,5000,2025-06-01,21705000
2025-07-01,SKU01,2025,7,July,Product C,Drink,Vanilla,Small,Bottle,Jakarta,3881,10000,6000,2025-07-01,38810000
2025-08-01,SKU01,2025,8,August,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,3265,10000,5000,2025-08-01,32650000
2025-09-01,SKU01,2025,9,September,Product A,Food,Chocolate,Small,Bottle,Bandung,736,15000,6000,2025-09-01,11040000
2025-10-01,SKU01,2025,10,October,Product B,Food,Original,Large,Bottle,Bandung,3043,5000,4000,2025-10-01,15215000
2025-11-01,SKU01,2025,11,November,Product C,Drink,Chocolate,Medium,Box,Bandung,4086,15000,6000,2025-11-01,61290000
2025-12-01,SKU01,2025,12,December,Product D,Drink,Chocolate,Small,Box,Bandung,4327,5000,4000,2025-12-01,21635000
2026-01-01,SKU01,2026,1,January,Product A,Food,Chocolate,Large,Bottle,Bandung,3299,5000,4000,2026-01-01,16495000
2026-02-01,SKU01,2026,2,February,Product B,Food,Vanilla,Medium,Bottle,Jakarta,870,15000,5000,2026-02-01,13050000
2026-03-01,SKU01,2026,3,March,Product C,Drink,Original,Large,Bottle,Bandung,849,7500,4000,2026-03-01,6367500
2026-04-01,SKU01,2026,4,April,Product D,Drink,Berry,Medium,Box,Jakarta,3592,5000,4000,2026-04-01,17960000
2026-05-01,SKU01,2026,5,May,Product A,Food,Vanilla,Large,Bottle,Bandung,4236,10000,5000,2026-05-01,42360000
2026-06-01,SKU01,2026,6,June,Product B,Food,Berry,Large,Box,Jakarta,1330,15000,4000,2026-06-01,19950000
2026-07-01,SKU01,2026,7,July,Product C,Drink,Chocolate,Small,Bottle,Bandung,4630,5000,6000,2026-07-01,23150000
2026-08-01,SKU01,2026,8,August,Product D,Drink,Berry,Medium,Bottle,Jakarta,2689,15000,5000,2026-08-01,40335000
