Tanggal,Tahun,Bulan,NamaBulan,SKU,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Demand,DemandValue,Capacity,Harga
2024-01-01,2024,1,January,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2936,14680000,4000,5000
2024-01-01,2024,1,January,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,2834,14170000,6000,5000
2024-01-01,2024,1,January,SKU03,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10870000,5000,10000
2024-01-01,2024,1,January,SKU04,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,11535000,5000,5000
2024-01-01,2024,1,January,SKU05,Product A,Food,Berry,Medium,Bottle,Bandung,966,4830000,4000,5000
2024-01-01,2024,1,January,SKU06,Product A,Food,Original,Large,Bottle,Jakarta,1075,16125000,4000,15000
2024-01-01,2024,1,January,SKU07,Product A,Food,Berry,Small,Bottle,Jakarta,1268,12680000,4000,10000
2024-01-01,2024,1,January,SKU08,Product A,Food,Berry,Small,Bottle,Jakarta,2097,20970000,4000,10000
2024-01-01,2024,1,January,SKU09,Product A,Food,Chocolate,Small,Box,Jakarta,681,6810000,4000,10000
2024-01-01,2024,1,January,SKU10,Product A,Food,Original,Medium,Bottle,Jakarta,2900,21750000,5000,7500
2024-01-01,2024,1,January,SKU11,Product A,Food,Berry,Medium,Box,Bandung,4997,74955000,6000,15000
2024-01-01,2024,1,January,SKU12,Product A,Food,Vanilla,Large,Box,Jakarta,2924,29240000,5000,10000
2024-02-01,2024,2,February,SKU01,Product B,Food,Vanilla,Large,Box,Jakarta,4959,74385000,6000,15000
2024-02-01,2024,2,February,SKU02,Product B,Food,Vanilla,Large,Box,Jakarta,834,6255000,6000,7500
2024-02-01,2024,2,February,SKU03,Product B,Food,Chocolate,Small,Bottle,Jakarta,1457,21855000,4000,15000
2024-02-01,2024,2,February,SKU04,Product B,Food,Original,Medium,Box,Bandung,2519,12595000,6000,5000
2024-02-01,2024,2,February,SKU05,Product B,Food,Berry,Small,Bottle,Bandung,3814,28605000,5000,7500
2024-02-01,2024,2,February,SKU06,Product B,Food,Chocolate,Medium,Box,Jakarta,4610,46100000,6000,10000
2024-02-01,2024,2,February,SKU07,Product B,Food,Chocolate,Large,Bottle,Jakarta,1416,7080000,4000,5000
2024-02-01,2024,2,February,SKU08,Product B,Food,Chocolate,Small,Box,Bandung,725,5437500,6000,7500
2024-02-01,2024,2,February,SKU09,Product B,Food,Original,Medium,Box,Bandung,4063,30472500,4000,7500
2024-02-01,2024,2,February,SKU10,Product B,Food,Vanilla,Small,Bottle,Jakarta,964,4820000,5000,5000
2024-02-01,2024,2,February,SKU11,Product B,Food,Chocolate,Medium,Bottle,Jakarta,4942,24710000,4000,5000
2024-02-01,2024,2,February,SKU12,Product B,Food,Vanilla,Medium,Bottle,Bandung,997,9970000,6000,10000
2024-03-01,2024,3,March,SKU01,Product C,Drink,Vanilla,Medium,Box,Bandung,1642,8210000,6000,5000
2024-03-01,2024,3,March,SKU02,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,2923,14615000,4000,5000
2024-03-01,2024,3,March,SKU03,Product C,Drink,Vanilla,Medium,Box,Bandung,2210,16575000,6000,7500
2024-03-01,2024,3,March,SKU04,Product C,Drink,Original,Large,Box,Bandung,1219,9142500,6000,7500
2024-03-01,2024,3,March,SKU05,Product C,Drink,Berry,Small,Bottle,Jakarta,3256,32560000,4000,10000
2024-03-01,2024,3,March,SKU06,Product C,Drink,Vanilla,Small,Box,Jakarta,3224,48360000,5000,15000
2024-03-01,2024,3,March,SKU07,Product C,Drink,Berry,Large,Box,Jakarta,4444,44440000,6000,10000
2024-03-01,2024,3,March,SKU08,Product C,Drink,Chocolate,Large,Box,Jakarta,1186,8895000,5000,7500
2024-03-01,2024,3,March,SKU09,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,4827,24135000,4000,5000
2024-03-01,2024,3,March,SKU10,Product C,Drink,Chocolate,Large,Box,Jakarta,920,6900000,6000,7500
2024-03-01,2024,3,March,SKU11,Product C,Drink,Chocolate,Large,Bottle,Bandung,2660,39900000,4000,15000
2024-03-01,2024,3,March,SKU12,Product C,Drink,Original,Large,Bottle,Bandung,3263,32630000,6000,10000
2024-04-01,2024,4,April,SKU01,Product D,Drink,Berry,Small,Box,Bandung,3809,38090000,6000,10000
2024-04-01,2024,4,April,SKU02,Product D,Drink,Original,Medium,Bottle,Jakarta,4825,72375000,4000,15000
2024-04-01,2024,4,April,SKU03,Product D,Drink,Berry,Medium,Box,Bandung,2118,15885000,4000,7500
2024-04-01,2024,4,April,SKU04,Product D,Drink,Berry,Large,Bottle,Jakarta,1150,5750000,6000,5000
2024-04-01,2024,4,April,SKU05,Product D,Drink,Vanilla,Large,Bottle,Bandung,4780,47800000,6000,10000
2024-04-01,2024,4,April,SKU06,Product D,Drink,Chocolate,Medium,Box,Jakarta,2301,17257500,5000,7500
2024-04-01,2024,4,April,SKU07,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,4269,42690000,6000,10000
2024-04-01,2024,4,April,SKU08,Product D,Drink,Chocolate,Large,Bottle,Jakarta,947,4735000,5000,5000
2024-04-01,2024,4,April,SKU09,Product D,Drink,Chocolate,Small,Box,Jakarta,3474,17370000,6000,5000
2024-04-01,2024,4,April,SKU10,Product D,Drink,Berry,Small,Box,Bandung,3380,25350000,5000,7500
2024-04-01,2024,4,April,SKU11,Product D,Drink,Chocolate,Large,Box,Bandung,3930,19650000,5000,5000
2024-04-01,2024,4,April,SKU12,Product D,Drink,Berry,Medium,Box,Jakarta,2952,14760000,6000,5000
2024-05-01,2024,5,May,SKU01,Product A,Food,Vanilla,Medium,Bottle,Jakarta,4899,48990000,4000,10000
2024-05-01,2024,5,May,SKU02,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2875,14375000,6000,5000
2024-05-01,2024,5,May,SKU03,Product A,Food,Original,Medium,Box,Bandung,1862,9310000,6000,5000
2024-05-01,2024,5,May,SKU04,Product A,Food,Original,Large,Box,Jakarta,1171,8782500,4000,7500
2024-05-01,2024,5,May,SKU05,Product A,Food,Original,Medium,Bottle,Jakarta,4819,48190000,6000,10000
2024-05-01,2024,5,May,SKU06,Product A,Food,Vanilla,Large,Box,Bandung,3496,17480000,5000,5000
2024-05-01,2024,5,May,SKU07,Product A,Food,Original,Small,Box,Jakarta,3743,28072500,6000,7500
2024-05-01,2024,5,May,SKU08,Product A,Food,Vanilla,Small,Bottle,Jakarta,1761,13207500,4000,7500
2024-05-01,2024,5,May,SKU09,Product A,Food,Chocolate,Small,Box,Bandung,539,5390000,6000,10000
2024-05-01,2024,5,May,SKU10,Product A,Food,Chocolate,Large,Bottle,Bandung,3038,30380000,4000,10000
2024-05-01,2024,5,May,SKU11,Product A,Food,Berry,Medium,Box,Jakarta,1979,29685000,5000,15000
2024-05-01,2024,5,May,SKU12,Product A,Food,Vanilla,Small,Bottle,Bandung,1524,15240000,5000,10000
2024-06-01,2024,6,June,SKU01,Product B,Food,Berry,Large,Bottle,Jakarta,3463,25972500,6000,7500
2024-06-01,2024,6,June,SKU02,Product B,Food,Original,Small,Box,Bandung,2837,42555000,4000,15000
2024-06-01,2024,6,June,SKU03,Product B,Food,Vanilla,Medium,Box,Jakarta,805,12075000,5000,15000
2024-06-01,2024,6,June,SKU04,Product B,Food,Vanilla,Large,Box,Jakarta,3237,32370000,4000,10000
2024-06-01,2024,6,June,SKU05,Product B,Food,Berry,Medium,Bottle,Bandung,4430,66450000,5000,15000
2024-06-01,2024,6,June,SKU06,Product B,Food,Berry,Medium,Box,Bandung,4547,22735000,6000,5000
2024-06-01,2024,6,June,SKU07,Product B,Food,Vanilla,Large,Box,Jakarta,2030,20300000,6000,10000
2024-06-01,2024,6,June,SKU08,Product B,Food,Vanilla,Small,Bottle,Jakarta,2580,38700000,4000,15000
2024-06-01,2024,6,June,SKU09,Product B,Food,Chocolate,Medium,Bottle,Jakarta,2985,22387500,6000,7500
2024-06-01,2024,6,June,SKU10,Product B,Food,Berry,Large,Box,Jakarta,2156,10780000,6000,5000
2024-06-01,2024,6,June,SKU11,Product B,Food,Chocolate,Small,Box,Jakarta,1798,8990000,6000,5000
2024-06-01,2024,6,June,SKU12,Product B,Food,Vanilla,Large,Box,Bandung,5240,39300000,6000,7500
2024-07-01,2024,7,July,SKU01,Product C,Drink,Berry,Medium,Bottle,Bandung,2607,39105000,4000,15000
2024-07-01,2024,7,July,SKU02,Product C,Drink,Berry,Medium,Box,Jakarta,742,5565000,4000,7500
2024-07-01,2024,7,July,SKU03,Product C,Drink,Original,Small,Bottle,Bandung,5413,40597500,6000,7500
2024-07-01,2024,7,July,SKU04,Product C,Drink,Chocolate,Medium,Box,Jakarta,3125,15625000,5000,5000
2024-07-01,2024,7,July,SKU05,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2825,28250000,4000,10000
2024-07-01,2024,7,July,SKU06,Product C,Drink,Berry,Large,Bottle,Jakarta,3276,32760000,5000,10000
